Date,Open,High,Low,Close,Adj Close,Volume
2023-10-09,100.820000,102.059998,100.580002,101.400002,101.400002,4434667
2023-10-10,102.099998,103.379997,101.500000,103.300003,103.300003,3964645
2023-10-11,103.099998,105.180000,102.800003,105.160004,105.160004,3623365
2023-10-12,105.239998,105.279999,103.300003,103.419998,103.419998,2153439
2023-10-13,103.199997,104.139999,102.660004,103.080002,103.080002,3105997
2023-10-16,103.059998,103.239998,102.300003,102.820000,102.820000,3353397
2023-10-17,102.800003,103.639999,102.599998,102.779999,102.779999,3167156
2023-10-18,102.599998,102.839996,101.699997,102.260002,102.260002,4378226
2023-10-19,101.000000,101.279999,98.550003,98.750000,98.750000,4740344
2023-10-20,98.000000,99.230003,97.809998,98.480003,98.480003,4248326
2023-10-23,98.230003,98.260002,97.089996,97.699997,97.699997,4325661
2023-10-24,97.320000,98.300003,97.099998,98.040001,98.040001,2477356
2023-10-25,98.059998,98.550003,97.330002,98.550003,98.550003,3164556
2023-10-26,98.430000,99.559998,97.860001,98.879997,98.879997,2877870
2023-10-27,98.000000,99.040001,97.430000,97.459999,97.459999,2850429
2023-10-30,97.589996,98.019997,97.400002,97.699997,97.699997,2378876
2023-10-31,97.699997,98.440002,97.650002,98.059998,98.059998,3739124
2023-11-01,98.550003,99.639999,98.370003,99.379997,99.379997,2605196
2023-11-02,99.360001,100.599998,99.190002,100.519997,100.519997,3027311
2023-11-03,100.519997,100.599998,99.739998,99.750000,99.750000,1946070
2023-11-06,100.000000,100.199997,99.370003,99.870003,99.870003,1863622
2023-11-07,99.720001,100.139999,99.459999,99.620003,99.620003,2430320
2023-11-08,99.220001,99.589996,98.660004,99.070000,99.070000,3371061
2023-11-09,99.080002,100.160004,98.760002,99.910004,99.910004,2179432
2023-11-10,99.949997,100.379997,99.120003,99.379997,99.379997,1825458
2023-11-13,99.470001,99.599998,98.589996,98.900002,98.900002,3274245
2023-11-14,99.180000,99.500000,98.669998,99.400002,99.400002,3207148
2023-11-15,99.580002,100.500000,99.330002,99.599998,99.599998,2624371
2023-11-16,99.510002,99.790001,98.440002,98.629997,98.629997,2977837
2023-11-17,98.339996,99.099998,98.070000,98.989998,98.989998,2434711
2023-11-20,98.599998,98.830002,98.070000,98.290001,98.290001,2377648
2023-11-21,98.000000,99.750000,97.750000,99.750000,99.750000,2298893
2023-11-22,99.900002,100.459999,99.669998,100.300003,100.300003,2259866
2023-11-23,100.019997,100.400002,99.900002,100.339996,100.339996,1896065
2023-11-24,100.099998,100.480003,99.849998,100.480003,100.480003,1539684
2023-11-27,100.500000,100.820000,100.199997,100.220001,100.220001,2002608
2023-11-28,99.900002,99.900002,98.830002,99.400002,99.400002,2695394
2023-11-29,99.550003,99.760002,98.750000,99.129997,99.129997,2125543
2023-11-30,98.699997,99.389999,97.870003,99.349998,99.349998,7391291
2023-12-01,99.480003,99.680000,98.360001,98.949997,98.949997,2464580
2023-12-04,99.199997,100.180000,98.980003,99.970001,99.970001,2093471
2023-12-05,100.120003,100.239998,99.260002,99.620003,99.620003,2407221
2023-12-06,99.430000,99.580002,98.349998,99.400002,99.400002,3233146
2023-12-07,99.440002,99.620003,98.669998,98.669998,98.669998,2327426
2023-12-08,98.730003,99.589996,98.250000,99.379997,99.379997,2388466
2023-12-11,98.699997,99.300003,97.860001,99.019997,99.019997,3182081
2023-12-12,98.570000,99.370003,98.550003,98.940002,98.940002,3371981
2023-12-13,98.559998,99.489998,98.209999,98.430000,98.430000,3786661
2023-12-14,99.370003,99.550003,97.620003,97.720001,97.720001,4339832
2023-12-15,97.809998,98.650002,96.889999,98.110001,98.110001,8920094
2023-12-18,97.800003,98.360001,97.370003,98.080002,98.080002,2391289
2023-12-19,98.110001,98.470001,96.570000,96.570000,96.570000,4147692
2023-12-20,96.519997,97.349998,96.120003,96.580002,96.580002,3729894
2023-12-21,96.150002,97.339996,96.150002,96.989998,96.989998,2593626
2023-12-22,96.650002,97.349998,96.650002,97.199997,97.199997,1806316
2023-12-27,96.699997,97.059998,96.610001,96.839996,96.839996,1841955
2023-12-28,96.769997,97.190002,96.639999,96.790001,96.790001,1716171
2023-12-29,97.099998,97.639999,96.940002,97.510002,97.510002,1977126
2024-01-03,98.349998,100.699997,97.949997,99.300003,99.300003,5298912
2024-01-04,98.769997,99.220001,97.980003,98.769997,98.769997,2750890
2024-01-05,98.410004,99.120003,98.199997,98.629997,98.629997,1744618
2024-01-08,98.540001,99.059998,98.000000,98.790001,98.790001,1937806
2024-01-09,98.349998,98.820000,97.459999,98.820000,98.820000,3224696
